home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,away_team_substitution_why,expected_goals_xg_home,expected_goals_xg_host,Ball_Possession_Home,Ball_Possession_Host,Goal_Attempts_Home,Goal_Attempts_Host,Shots_on_Goal_Home,Shots_on_Goal_Host,Shots_off_Goal_Home,Shots_off_Goal_Host,Free_Kicks_Home,Free_Kicks_Host,Corner_Kicks_Home,Corner_Kicks_Host,Offsides_Home,Offsides_Host,Throw_ins_Home,Throw_ins_Host,Goalkeeper_Saves_Home,Goalkeeper_Saves_Host,Fouls_Home,Fouls_Host,Red_Cards_Home,Red_Cards_Host,Yellow_Cards_Home,Yellow_Cards_Host,Total_Passes_Home,Total_Passes_Host,Completed_Passes_Home,Completed_Passes_Host,Attacks_Home,Attacks_Host,Dangerous_Attacks_Home,Dangerous_Attacks_Host,Distance_Covered_(km)_Home,Distance_Covered_(km)_Host,referee,venue,capacity,attendance
Dortmund,Werder Bremen,1,0,2023/2024,20.1,21:30,"""0 - 0""","""1 - 0""","[""67'""]",['1 - 0'],['Brandt J.'],['(Can E.)'],,,,,"[""44'""]",['Nmecha F.'],['(Tripping)'],"[""61'"", ""75'"", ""83'"", ""90+5'"", ""90+5'""]","['Bittencourt L.', 'Stage J.', 'Veljkovic M.', 'Deman O.', 'Ducksch M.']","['(Tripping)', '(Foul)', '(Tripping)', '(Foul)', '(Not on pitch, Unsportsmanlike conduct)']",,,,,,,"[""62'"", ""62'"", ""76'"", ""77'"", ""90'""]","['Bensebaini R.', 'Reyna G.', 'Sabitzer M.', 'Haller S.', 'Adeyemi K.']","['Wolf M.', 'Reus M.', 'Malen D.', 'Fullkrug N.', 'Brandt J.']","['-', '-', '-', '-', '-']","[""68'"", ""68'"", ""81'"", ""87'""]","['Njinmah J.', 'Lynen S.', 'Woltemade N.', 'Borre R.']","['Kownacki D.', 'Bittencourt L.', 'Schmid R.', 'Jung A.']","['-', '-', '-', '-']",2.71,0.44,58%,42%,22,6,5,1,17,5,10,5,10,4,0,0,17,17,1,4,5,10,,,1,5,577,413,508,330,137,72,70,23,,,Brych F.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
Eintracht Frankfurt,Heidenheim,2,0,2023/2024,8.1,20:30,"""1 - 0""","""1 - 0""","[""39'"", ""72'""]","['1 - 0', '2 - 0']","['Larsson H.', 'Knauff A.']","['-', '(Buta)']",,,,,"[""11'"", ""65'""]","['Ngankam J.', 'Max P.']","['(Roughing)', '(Roughing)']","[""23'"", ""28'"", ""46'""]","['Beste J.', 'Muller K.', 'Mainka P.']","['(Unsportsmanlike conduct)', '(Tripping)', '(Holding)']",,,,,,,"[""67'"", ""67'"", ""78'"", ""90'"", ""90'""]","['Knauff A.', 'Nacho', 'Nkounkou N.', 'Smolcic H.', 'Hasebe M.']","['Ngankam J.', 'Marmoush O.', 'Max P.', 'Chaibi F.', 'Larsson H.']","['-', '-', '-', '-', '-']","[""46'"", ""58'"", ""78'"", ""78'"", ""85'""]","['Dovedan N.', 'Beck A.', 'Schoppner J.', 'Thomalla D.', 'Pick F.']","['Pieringer M.', 'Theuerkauf N.', 'Beste J.', 'Kleindienst T.', 'Beck A.']","['-', '-', '-', '-', '-']",1.9,0.86,51%,49%,12,7,6,2,6,5,12,17,3,6,3,3,15,28,2,4,14,10,,,2,3,494,485,395,383,116,128,51,36,,,Schlager D.  (Ger),Deutsche Bank Park  (Frankfurt),58 000,50 000
Bayern Munich,Freiburg,3,0,2023/2024,8.1,18:30,"""2 - 0""","""1 - 0""","[""12'"", ""25'"", ""85'""]","['1 - 0', '2 - 0', '3 - 0']","['Coman K.', 'Sane L.', 'Coman K.']","['(Muller T.)', '(Kane H.)', '(Laimer K.)']",,,,,"[""17'""]",['Mazraoui N.'],['(Roughing)'],,,,,,,,,,"[""72'"", ""72'"", ""77'"", ""88'"", ""88'""]","['Tel M.', 'Musiala J.', 'Laimer K.', 'Choupo-Moting E. M.', 'Kratzig F.']","['Kane H.', 'Muller T.', 'Upamecano D.', 'Coman K.', 'Kimmich J.']","['-', '-', '-', '-', '-']","[""46'"", ""68'"", ""68'"", ""84'"", ""84'""]","['Philipp M.', 'Weisshaupt N.', 'Adamu J.', 'Rudlin F.', 'Breunig M.']","['Rohl M.', 'Doan R.', 'Holer L.', 'Eggestein M.', 'Sallai R.']","['-', '-', '-', '-', '-']",2.5,0.08,68%,32%,21,2,5,0,16,2,9,10,7,1,3,3,8,14,0,2,7,8,,,1,0,776,314,706,232,155,69,72,14,,,Schroder R.  (Ger),Allianz Arena  (Munich),75 024,75 000
Bayer Leverkusen,FC Koln,3,0,2023/2024,8.1,16:30,"""2 - 0""","""1 - 0""","[""22'"", ""32'"", ""67'""]","['1 - 0', '2 - 0', '3 - 0']","['Hofmann J.', 'Frimpong J.', 'Boniface V.']","['(Wirtz F.)', '(Grimaldo A.)', '(Hofmann J.)']",,,,,"[""23'"", ""45+4'"", ""61'"", ""66'""]","['Frimpong J.', 'Tapsoba E.', 'Tah J.', 'Alonso X.']","['(Unsportsmanlike conduct)', '(Roughing)', '(Roughing)', '(Not on pitch)']","[""24'""]",['Baumgart S.'],['(Not on pitch)'],,,,,,,"[""71'"", ""71'"", ""81'"", ""81'"", ""88'""]","['Hincapie P.', 'Adli A.', 'Tella N.', 'Hlozek A.', 'Puerta G.']","['Tapsoba E.', 'Wirtz F.', 'Frimpong J.', 'Boniface V.', 'Hofmann J.']","['-', '-', '-', '-', '-']","[""62'"", ""75'"", ""75'"", ""90+1'"", ""90+1'""]","['Finkgrafe M.', 'Olesen M.', 'Tigges S.', 'Kilian L.', 'Downs D.']","['Alidou F.', 'Huseinbasic D.', 'Martel E.', 'Carstensen R.', 'Selke D.']","['-', '-', '-', '-', '-']",4.02,1.5,61%,39%,21,7,10,3,11,4,5,7,11,4,2,0,9,7,3,7,9,7,,,3,0,747,408,687,343,135,45,70,25,,,Zwayer F.  (Ger),BayArena  (Leverkusen),30 210,30 210
Werder Bremen,Hoffenheim,2,3,2023/2024,7.1,19:30,"""1 - 2""","""1 - 1""","[""17'"", ""90+1'""]","['1 - 1', '2 - 2']","['Schmid R.', 'Stage J.']","['(Ducksch M.)', '(Gross C.)']","[""8'"", ""29'"", ""90+2'""]","['0 - 1', '1 - 2', '2 - 3']","['Beier M.', 'Promel G.', 'Bulter M.']","['(Promel G.)', '(Skov R.)', '-']","[""32'"", ""45+1'"", ""56'"", ""58'"", ""90+2'""]","['Keita N.', 'Ducksch M.', 'Weiser M.', 'Rapp N.', 'Jung A.']","['(Tripping)', '(Foul)', '(Tripping)', '(Tripping)', '(Unsportsmanlike conduct)']","[""69'"", ""72'"", ""90'"", ""90+5'""]","['Promel G.', 'Akpoguma K.', 'Baumann O.', 'Vogt K.']","['(Holding)', '(Tripping)', '(Delay of game)', '(Unsportsmanlike conduct)']",,,,,,,"[""59'"", ""59'"", ""72'"", ""72'"", ""83'""]","['Stage J.', 'Borre R.', 'Gross C.', 'Woltemade N.', 'Bittencourt L.']","['Keita N.', 'Njinmah J.', 'Rapp N.', 'Lynen S.', 'Friedl M.']","['-', '-', '-', '-', '-']","[""60'"", ""66'"", ""81'"", ""81'""]","['Bulter M.', 'Akpoguma K.', 'Bebou I.', 'Becker F. O.']","['Skov R.', 'Kabak O.', 'Beier M.', 'Grillitsch F.']","['-', '-', '-', '-']",0.94,1.79,49%,51%,13,11,3,4,10,7,7,14,4,4,2,4,15,10,1,1,15,6,,,5,4,459,498,367,398,113,146,43,34,,,Dingert C.  (Ger),Weserstadion  (Bremen),42 100,41 000
Augsburg,Darmstadt,1,2,2023/2024,7.1,16:30,"""0 - 0""","""1 - 2""","[""86'""]",['1 - 2'],['Demirovic E.'],['-'],"[""52'"", ""70'""]","['0 - 1', '0 - 2']","['Skarke T.', 'Kempe T.']","['-', '(Penalty)']","[""35'"", ""66'"", ""74'"", ""90+4'""]","['Gumny R.', 'Michel S.', 'Demirovic E.', 'Uduokhai F.']","['(Holding)', '(Roughing)', '(Roughing)', '(Foul)']","[""38'"", ""59'""]","['Muller J.', 'Pfeiffer L.']","['(Holding)', '(Holding)']",,,,,,,"[""58'"", ""58'"", ""58'"", ""70'"", ""75'""]","['Maier A.', 'Pedersen M.', 'Michel S.', 'Jensen F.', 'Cardona I.']","['Tietz P.', 'Gumny R.', 'Iago', 'Breithaupt T.', 'Pfeiffer P.']","['-', '-', '-', '-', '-']","[""71'"", ""71'"", ""82'"", ""82'"", ""90+5'""]","['Muller A.', 'Hornby F.', 'Honsak M.', 'Riedel C.', 'Isherwood T.']","['Mehlem M.', 'Pfeiffer L.', 'Skarke T.', 'Kempe T.', 'Bader M.']","['-', '-', '-', '-', '-']",,,49%,51%,17,17,3,5,14,12,13,18,4,4,6,1,23,12,3,2,13,12,,,4,2,371,419,282,339,105,72,50,25,,,Aytekin D.  (Ger),WWK Arena  (Augsburg),30 660,29 200
Dortmund,Union Berlin,4,2,2023/2024,7.1,16:30,"""1 - 2""","""3 - 0""","[""7'"", ""49'"", ""54'"", ""71'""]","['1 - 0', '2 - 2', '3 - 2', '4 - 2']","['Fullkrug N.', 'Schlotterbeck N.', 'Brandt J.', 'Ryerson J.']","['-', '(Nmecha F.)', '(Reus M.)', '-']","[""9'"", ""31'""]","['1 - 1', '1 - 2']","['Gosens R.', 'Bonucci L.']","['(Trimmel C.)', '(Penalty)']","[""31'""]",['Hummels M.'],['(Roughing)'],"[""64'""]",['Gosens R.'],['(Foul)'],,,,,,,"[""46'"", ""64'"", ""73'"", ""83'"", ""83'""]","['Brandt J.', 'Reyna G.', 'Sule N.', 'Haller S.', 'Ozcan S.']","['Gittens J.', 'Malen D.', 'Hummels M.', 'Fullkrug N.', 'Reus M.']","['-', '-', '-', '-', '-']","[""20'"", ""54'"", ""68'"", ""68'"", ""68'""]","['Tousart L.', 'Aaronson B.', 'Fofana D. D.', 'Volland K.', 'Roussillon J.']","['Kral A.', 'Laidouni A.', 'Behrens K.', 'Becker S.', 'Trimmel C.']","['-', '-', '-', '-', '-']",,,66%,34%,12,12,7,5,5,7,20,7,4,6,1,5,17,19,3,3,7,15,,,1,1,602,268,536,198,137,62,39,25,,,Ittrich P.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
RB Leipzig,Bochum,0,0,2023/2024,7.1,16:30,"""0 - 0""","""0 - 0""",,,,,,,,,"[""47'"", ""69'""]","['Baumgartner C.', 'Simons X.']","['(Holding)', '(Roughing)']","[""42'"", ""55'"", ""60'"", ""87'""]","['Osterhage P.', 'Ordets I.', 'Stoger K.', 'Schlotterbeck K.']","['(Holding)', '(Elbowing)', '(Unsportsmanlike conduct)', '(Tripping)']",,,,,,,"[""57'"", ""57'"", ""78'"", ""78'"", ""78'""]","['Forsberg E.', 'Poulsen Y.', 'Werner T.', 'Haidara A.', 'Carvalho F.']","['Baumgartner C.', 'Sesko B.', 'Openda L.', 'Simons X.', 'Schlager X.']","['-', '-', '-', '-', '-']","[""72'"", ""72'"", ""82'"", ""88'""]","['Loosli N.', 'Kwarteng M.', 'Antwi-Adjei C.', 'Masovic E.']","['Gamboa C.', 'Paciencia G.', 'Asano T.', 'Osterhage P.']","['-', '-', '-', '-']",,,66%,34%,18,9,5,2,13,7,14,14,9,1,1,3,21,18,2,5,10,13,,,2,4,663,195,597,127,152,60,75,16,,,Gerach T.  (Ger),Red Bull Arena  (Leipzig),47 069,44 269
Stuttgart,Wolfsburg,3,1,2023/2024,7.1,16:30,"""0 - 1""","""3 - 0""","[""67'"", ""78'"", ""82'""]","['1 - 1', '2 - 1', '3 - 1']","['Guirassy S.', 'Guirassy S.', 'Guirassy S.']","['(Penalty)', '(Fuhrich C.)', '-']","[""34'""]",['0 - 1'],['Gerhardt Y.'],['-'],"[""90+4'""]",['Undav D.'],['(Unsportsmanlike conduct)'],"[""5'"", ""42'"", ""73'""]","['Svanberg M.', 'Wind J.', 'Vranckx A.']","['(Roughing)', '(Elbowing)', '(Foul)']",,,,,,,"[""61'"", ""61'"", ""83'"", ""83'"", ""90+3'""]","['Undav D.', 'Silas', 'Zagadou D.', 'Mittelstadt M.', 'Stergiou L.']","['Leweling J.', 'Stenzel P.', 'Rouault A.', 'Fuhrich C.', 'Guirassy S.']","['-', '-', '-', '-', '-']","[""62'"", ""79'"", ""79'"", ""79'"", ""85'""]","['Vranckx A.', 'Cerny V.', 'Paredes K.', 'Kaminski J.', 'Sarr A.']","['Gerhardt Y.', 'Tomas T.', 'Majer L.', 'Svanberg M.', 'Wind J.']","['-', '-', '-', '-', '-']",,,57%,43%,13,12,7,5,6,7,13,19,5,6,5,0,18,15,4,4,13,14,,,1,3,568,380,488,296,111,94,50,27,,,Siebert D.  (Ger),MHPArena  (Stuttgart),60 449,52 000
B. Monchengladbach,Mainz,2,2,2023/2024,6.1,21:30,"""1 - 1""","""1 - 1""","[""22'"", ""88'""]","['1 - 0', '2 - 2']","['Neuhaus F.', 'Scally J.']","['(Honorat F.)', '(Ngoumou N.)']","[""24'"", ""75'""]","['1 - 1', '1 - 2']","['Gruda B.', 'Barkok A.']","['(Fernandes E.)', '(El Ghazi A.)']","[""56'"", ""81'"", ""82'""]","['Itakura K.', 'Kone M.', 'Hack R.']","['(Tripping)', '(Tripping)', '(Roughing)']","[""66'""]",['Bell S.'],['(Roughing)'],,,,,,,"[""64'"", ""64'"", ""64'"", ""79'"", ""79'""]","['Kone M.', 'Cvancara T.', 'Ngoumou N.', 'Scally J.', 'Hack R.']","['Neuhaus F.', 'Siebatcheu J.', 'Plea A.', 'Netz L.', 'Reitz R.']","['-', '-', '-', '-', '-']","[""70'"", ""70'"", ""80'"", ""86'""]","['El Ghazi A.', 'Barkok A.', 'Papela M.', 'Kohr D.']","['Gruda B.', 'Lee Jae-Sung', 'Caci A.', 'Krauss T.']","['-', '-', '-', '-']",2.24,1.06,58%,42%,20,13,9,7,11,6,10,10,10,3,1,1,25,20,5,7,9,9,,,3,1,566,384,470,296,153,86,45,21,,,Jablonski S.  (Ger),Borussia-Park  (Mönchengladbach),54 042,51 529
Freiburg,Augsburg,2,0,2023/2024,1.1,18:30,"""1 - 0""","""1 - 0""","[""5'"", ""56'""]","['1 - 0', '2 - 0']","['Grifo V.', 'Lienhart P.']","['(Penalty)', '(Grifo V.)']",,,,,"[""50'"", ""75'""]","['Rohl M.', 'Sildillia K.']","['(Foul)', '(Foul)']","[""60'"", ""84'""]","['Breithaupt T.', 'Michel S.']","['(Tripping)', '(Roughing)']",,,,,,,"[""20'"", ""73'"", ""73'"", ""88'"", ""89'""]","['Rohl M.', 'Philipp M.', 'Adamu J.', 'Gregoritsch M.', 'Gulde M.']","['Keitel Y.', 'Doan R.', 'Grifo V.', 'Holer L.', 'Sallai R.']","['-', '-', '-', '-', '-']","[""57'"", ""57'"", ""71'"", ""71'""]","['Pedersen M.', 'Michel S.', 'Beljo D.', 'Maier A.']","['Iago', 'Vargas R.', 'Tietz P.', 'Breithaupt T.']","['-', '-', '-', '-']",1.09,1.58,54%,46%,7,13,3,4,4,9,19,13,2,3,0,2,24,25,4,1,13,17,,,2,2,462,401,356,309,100,121,25,45,,,Osmers H.  (Ger),Europa-Park Stadion  (Freiburg),34 700,33 134
Darmstadt,Werder Bremen,4,2,2023/2024,1.1,16:30,"""2 - 0""","""2 - 2""","[""5'"", ""25'"", ""50'"", ""62'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 0']","['Bader M.', 'Skarke T.', 'Mehlem M.', 'Kempe T.']","['(Mehlem M.)', '(Nurnberger F.)', '(Bader M.)', '(Penalty)']","[""70'"", ""78'""]","['4 - 1', '4 - 2']","['Deman O.', 'Veljkovic M.']","['(Weiser M.)', '(Ducksch M.)']","[""40'"", ""52'"", ""90+4'""]","['Mehlem M.', 'Holland F.', 'Franjic B.']","['(Unsportsmanlike conduct)', '(Foul)', '(Holding)']","[""31'"", ""90+3'""]","['Lynen S.', 'Deman O.']","['(Tripping)', '(Tripping)']",,,,,,,"[""59'"", ""59'"", ""71'"", ""71'"", ""80'""]","['Honsak M.', 'Hornby F.', 'Franjic B.', 'Schnellhardt F.', 'Ronstadt F.']","['Skarke T.', 'Pfeiffer L.', 'Holland F.', 'Mehlem M.', 'Nurnberger F.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""69'"", ""85'"", ""86'""]","['Njinmah J.', 'Woltemade N.', 'Keita N.', 'Kownacki D.', 'Rapp N.']","['Borre R.', 'Lynen S.', 'Schmid R.', 'Stage J.', 'Gross C.']","['-', '-', '-', '-', '-']",2.31,1.76,44%,56%,14,9,5,6,9,3,23,22,2,4,2,5,17,23,4,1,19,19,,,3,2,357,472,257,373,80,119,30,39,,,Petersen M.  (Ger),Merck-Stadion am Bollenfalltor  (Darmstadt),17 810,17 810
RB Leipzig,Bayern Munich,2,2,2023/2024,30.09,19:30,"""2 - 0""","""0 - 2""","[""20'"", ""26'""]","['1 - 0', '2 - 0']","['Openda L.', 'Lukeba C.']","['(Schlager X.)', '(Openda L.)']","[""57'"", ""70'""]","['2 - 1', '2 - 2']","['Kane H.', 'Sane L.']","['(Penalty)', '(Musiala J.)']","[""54'"", ""64'""]","['Simakan M.', 'Lukeba C.']","['(Tripping)', '(Delay of game)']","[""38'"", ""44'"", ""51'"", ""72'"", ""81'""]","['Kane H.', 'Ulreich S.', 'Upamecano D.', 'Musiala J.', 'Tel M.']","['(Foul)', '(Unsportsmanlike conduct)', '(Tripping)', '(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""64'"", ""72'"", ""72'"", ""86'"", ""86'""]","['Seiwald N.', 'Sesko B.', 'Baumgartner C.', 'Carvalho F.', 'Klostermann L.']","['Kampl K.', 'Poulsen Y.', 'Forsberg E.', 'Openda L.', 'Henrichs B.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""87'""]","['Tel M.', 'Guerreiro R.', 'Choupo-Moting E. M.']","['Coman K.', 'Goretzka L.', 'Musiala J.']","['-', '-', '-']",0.94,1.85,37%,63%,7,11,2,5,5,6,13,7,5,1,1,1,18,22,3,0,10,11,,,2,5,345,685,276,603,90,151,26,64,,,Fritz M.  (Ger),Red Bull Arena  (Leipzig),47 069,47 069
Bochum,B. Monchengladbach,1,3,2023/2024,30.09,16:30,"""0 - 3""","""1 - 0""","[""68'""]",['1 - 3'],['Losilla A.'],['(Daschner L.)'],"[""27'"", ""37'"", ""45+3'""]","['0 - 1', '0 - 2', '0 - 3']","['Neuhaus F.', 'Plea A.', 'Plea A.']","['(Plea A.)', '(Wober M.)', '(Siebatcheu J.)']","[""52'"", ""90+10'""]","['Bernardo', 'Gamboa C.']","['(Holding)', '(Unsportsmanlike conduct)']","[""45+1'"", ""81'"", ""90+10'""]","['Itakura K.', 'Kramer Ch.', 'Cvancara T.']","['(Tripping)', '(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""7'"", ""46'"", ""46'"", ""46'"", ""68'""]","['Antwi-Adjei C.', 'Gamboa C.', 'Forster P.', 'Daschner L.', 'Paciencia G.']","['Bero M.', 'Passlack F.', 'Wittek M.', 'Stoger K.', 'Asano T.']","['-', '-', '-', '-', '-']","[""64'"", ""64'"", ""72'"", ""72'"", ""89'""]","['Cvancara T.', 'Friedrich M.', 'Scally J.', 'Kramer Ch.', 'Jantschke T.']","['Siebatcheu J.', 'Elvedi N.', 'Plea A.', 'Neuhaus F.', 'Reitz R.']","['-', '-', '-', '-', '-']",1.95,2.62,57%,43%,23,25,5,9,18,16,14,14,5,10,2,3,22,15,6,4,12,12,,,2,3,415,286,303,189,142,78,74,44,,,Brych F.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,26 000
FC Koln,Stuttgart,0,2,2023/2024,30.09,16:30,"""0 - 0""","""0 - 2""",,,,,"[""68'"", ""88'""]","['0 - 1', '0 - 2']","['Undav D.', 'Undav D.']","['(Fuhrich C.)', '-']","[""26'"", ""55'""]","['Ljubicic D.', 'Huseinbasic D.']","['(Holding)', '(Roughing)']","[""79'""]",['Millot E.'],['(Tripping)'],,,,,,,"[""60'"", ""60'"", ""76'"", ""86'""]","['Waldschmidt L.', 'Alidou F.', 'Downs D.', 'Finkgrafe M.']","['Kainz F.', 'Tigges S.', 'Huseinbasic D.', 'Maina L.']","['-', '-', '-', '-']","[""62'"", ""73'"", ""86'"", ""86'"", ""86'""]","['Undav D.', 'Silas', 'Mittelstadt M.', 'Zagadou D.', 'Egloff L.']","['Karazor A.', 'Leweling J.', 'Fuhrich C.', 'Stenzel P.', 'Millot E.']","['-', '-', '-', '-', '-']",1.38,2.61,40%,60%,14,18,5,4,9,14,8,16,8,4,2,1,23,23,2,5,16,8,,,2,1,365,583,296,513,89,121,57,50,,,Stieler T.  (Ger),RheinEnergieStadion  (Cologne),50 000,50 000
Heidenheim,Union Berlin,1,0,2023/2024,30.09,16:30,"""0 - 0""","""1 - 0""","[""59'""]",['1 - 0'],['Beste J.'],['-'],,,,,"[""48'""]",['Pieringer M.'],['(Roughing)'],"[""40'"", ""77'""]","['Leite D.', 'Kral A.']","['(Foul)', '(Roughing)']",,,,,,,"[""81'"", ""90'"", ""90'"", ""90+1'""]","['Thomalla D.', 'Keller T.', 'Pick F.', 'Schimmer S.']","['Pieringer M.', 'Theuerkauf N.', 'Dinkci E.', 'Beste J.']","['-', '-', '-', '-']","[""61'"", ""74'"", ""74'"", ""74'"", ""78'""]","['Jaeckel P.', 'Kaufmann M.', 'Roussillon J.', 'Hollerbach B.', 'Laidouni A.']","['Leite D.', 'Bonucci L.', 'Gosens R.', 'Fofana D. D.', 'Tousart L.']","['-', '-', '-', '-', '-']",0.51,2.43,48%,52%,9,19,4,8,5,11,16,12,5,7,1,1,25,12,8,3,11,14,,,1,2,405,416,320,333,91,113,34,56,,,Stegemann S.  (Ger),Voith-Arena  (Heidenheim),15 000,15 000
Mainz,Bayer Leverkusen,0,3,2023/2024,30.09,16:30,"""0 - 1""","""0 - 2""",,,,,"[""18'"", ""59'"", ""65'""]","['0 - 1', '0 - 2', '0 - 3']","['van den Berg S.', 'Grimaldo A.', 'Hofmann J.']","['(Own goal)', '-', '(Palacios E.)']","[""58'"", ""75'"", ""90+2'"", ""90+4'""]","['Fernandes E.', 'Gruda B.', 'Richter M.', 'Barreiro L.']","['(Tripping)', '(Tripping)', '(Roughing)', '(Roughing)']","[""4'""]",['Xhaka G.'],['(Tripping)'],,,,,,,"[""69'"", ""69'"", ""69'"", ""76'"", ""84'""]","['El Ghazi A.', 'Barkok A.', 'Krauss T.', 'Ajorque L.', 'Richter M.']","['da Costa D.', 'Lee Jae-Sung', 'Kohr D.', 'Gruda B.', 'Onisiwo K.']","['-', '-', '-', '-', '-']","[""63'"", ""79'"", ""79'"", ""86'"", ""86'""]","['Adli A.', 'Hlozek A.', 'Andrich R.', 'Amiri N.', 'Stanisic J.']","['Wirtz F.', 'Boniface V.', 'Xhaka G.', 'Hofmann J.', 'Frimpong J.']","['-', '-', '-', '-', '-']",0.69,0.88,44%,56%,10,6,3,3,7,3,12,14,3,1,3,1,22,15,1,3,13,11,,,4,1,478,605,397,526,112,132,66,25,,,Brand B.  (Ger),Mewa Arena  (Mainz),34 000,33 305
Wolfsburg,Eintracht Frankfurt,2,0,2023/2024,30.09,16:30,"""1 - 0""","""1 - 0""","[""31'"", ""84'""]","['1 - 0', '2 - 0']","['Wind J.', 'Wind J.']","['-', '-']",,,,,"[""73'""]",['Zesiger C.'],['(Holding)'],"[""5'"", ""42'"", ""45+2'"", ""89'"", ""90+4'""]","['Pacho W.', 'Gotze M.', 'Buta', 'Knauff A.', 'Ngankam J.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Foul)', '(Holding)', '(Foul)']",,,,"[""58'""]",['Gotze M.'],['(Foul)'],"[""79'"", ""79'"", ""87'"", ""90'"", ""90'""]","['Vranckx A.', 'Paredes K.', 'Kaminski J.', 'Wimmer P.', 'Cerny V.']","['Svanberg M.', 'Tomas T.', 'Gerhardt Y.', 'Majer L.', 'Wind J.']","['-', '-', '-', '-', '-']","[""60'"", ""68'"", ""82'"", ""82'"", ""82'""]","['Knauff A.', 'Nkounkou N.', 'Hauge J.', 'Aaronson P.', 'Ngankam J.']","['Buta', 'Chaibi F.', 'Dina Ebimbe J.', 'Tuta', 'Marmoush O.']","['-', '-', '-', '-', '-']",3.84,1.29,55%,45%,19,7,7,3,12,4,20,15,7,4,4,3,22,18,3,5,11,18,0,1,1,6,450,365,387,288,120,90,46,28,,,Willenborg F.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,28 323
Hoffenheim,Dortmund,1,3,2023/2024,29.09,21:30,"""1 - 2""","""0 - 1""","[""25'""]",['1 - 1'],['Kramaric A.'],['(Penalty)'],"[""18'"", ""45+3'"", ""90+5'""]","['0 - 1', '1 - 2', '1 - 3']","['Fullkrug N.', 'Reus M.', 'Ryerson J.']","['(Brandt J.)', '-', '-']","[""44'"", ""61'"", ""85'""]","['Brooks J. A.', 'Vogt K.', 'Kabak O.']","['(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Roughing)']","[""23'"", ""60'"", ""67'"", ""86'""]","['Hummels M.', 'Nmecha F.', 'Bensebaini R.', 'Reus M.']","['(Tripping)', '(Elbowing)', '(Tripping)', '(Not on pitch, Unsportsmanlike conduct)']",,,,"[""71'""]",['Bensebaini R.'],['(Unsportsmanlike conduct)'],"[""68'"", ""68'"", ""84'"", ""84'"", ""87'""]","['Berisha M.', 'Bulter M.', 'Bischof T.', 'Justvan J.', 'Becker F. O.']","['Promel G.', 'Skov R.', 'Brooks J. A.', 'Beier M.', 'Kramaric A.']","['-', '-', '-', '-', '-']","[""64'"", ""69'"", ""80'"", ""80'"", ""80'""]","['Adeyemi K.', 'Can E.', 'Haller S.', 'Wolf M.', 'Sule N.']","['Brandt J.', 'Nmecha F.', 'Fullkrug N.', 'Reus M.', 'Malen D.']","['-', '-', '-', '-', '-']",2.1,1.85,50%,50%,15,6,5,5,10,1,17,14,4,3,0,2,25,16,2,4,14,16,0,1,3,4,416,388,354,307,124,89,56,35,,,Badstubner F.  (Ger),PreZero Arena  (Sinsheim),30 150,30 150
